video,frame_number,pts_us,qr_timestamp_us,offset_us,offset_ms
cam1_rec8.mkv,150829,2513430000,1768260314057000,-1768257800627000,-1768257800627.0
cam1_rec8.mkv,151370,2522446000,1768260323082000,-1768257800636000,-1768257800636.0
cam1_rec8.mkv,152992,2549471000,1768260350098000,-1768257800627000,-1768257800627.0
cam1_rec8.mkv,153533,2558483000,1768260359116000,-1768257800633000,-1768257800633.0
cam1_rec8.mkv,154073,2567483000,1768260368120000,-1768257800637000,-1768257800637.0
cam1_rec8.mkv,154614,2576495000,1768260377137000,-1768257800642000,-1768257800642.0
cam1_rec8.mkv,156236,2603519000,1768260404126000,-1768257800607000,-1768257800607.0
cam1_rec8.mkv,156776,2612519000,1768260413139000,-1768257800620000,-1768257800620.0
cam1_rec8.mkv,157317,2621532000,1768260422145000,-1768257800613000,-1768257800613.0
cam1_rec8.mkv,157857,2630528000,1768260431162000,-1768257800634000,-1768257800634.0
cam1_rec8.mkv,159479,2657556000,1768260458184000,-1768257800628000,-1768257800628.0
cam1_rec8.mkv,160020,2666568000,1768260467195000,-1768257800627000,-1768257800627.0
cam1_rec8.mkv,160560,2675564000,1768260476199000,-1768257800635000,-1768257800635.0
cam1_rec8.mkv,161101,2684581000,1768260485211000,-1768257800630000,-1768257800630.0
cam1_rec8.mkv,163263,2720601000,1768260521230000,-1768257800629000,-1768257800629.0
cam1_rec8.mkv,163804,2729617000,1768260530246000,-1768257800629000,-1768257800629.0
cam1_rec8.mkv,164345,2738629000,1768260539269000,-1768257800640000,-1768257800640.0
cam1_rec8.mkv,164885,2747626000,1768260548268000,-1768257800642000,-1768257800642.0
cam1_rec8.mkv,165426,2756642000,1768260557271000,-1768257800629000,-1768257800629.0
cam1_rec8.mkv,166507,2774654000,1768260575277000,-1768257800623000,-1768257800623.0
cam1_rec8.mkv,167048,2783666000,1768260584293000,-1768257800627000,-1768257800627.0
cam1_rec8.mkv,167588,2792662000,1768260593291000,-1768257800629000,-1768257800629.0
cam1_rec8.mkv,169751,2828703000,1768260629333000,-1768257800630000,-1768257800630.0
cam1_rec8.mkv,170291,2837699000,1768260638337000,-1768257800638000,-1768257800638.0
cam1_rec8.mkv,170832,2846715000,1768260647341000,-1768257800626000,-1768257800626.0
cam1_rec8.mkv,171373,2855727000,1768260656357000,-1768257800630000,-1768257800630.0
cam1_rec8.mkv,172994,2882736000,1768260683367000,-1768257800631000,-1768257800631.0
cam1_rec8.mkv,173535,2891752000,1768260692381000,-1768257800629000,-1768257800629.0
cam1_rec8.mkv,174076,2900764000,1768260701385000,-1768257800621000,-1768257800621.0
cam1_rec8.mkv,174616,2909760000,1768260710396000,-1768257800636000,-1768257800636.0
cam1_rec8.mkv,176238,2936784000,1768260737420000,-1768257800636000,-1768257800636.0
cam1_rec8.mkv,176779,2945801000,1768260746421000,-1768257800620000,-1768257800620.0
cam1_rec8.mkv,177319,2954797000,1768260755435000,-1768257800638000,-1768257800638.0
cam1_rec8.mkv,179482,2990837000,1768260791466000,-1768257800629000,-1768257800629.0
cam1_rec8.mkv,180022,2999833000,1768260800459000,-1768257800626000,-1768257800626.0
cam1_rec8.mkv,180563,3008850000,1768260809470000,-1768257800620000,-1768257800620.0
cam1_rec8.mkv,182725,3044870000,1768260845488000,-1768257800618000,-1768257800618.0
cam1_rec8.mkv,183266,3053882000,1768260854511000,-1768257800629000,-1768257800629.0
cam1_rec8.mkv,183807,3062898000,1768260863529000,-1768257800631000,-1768257800631.0
cam1_rec8.mkv,184347,3071895000,1768260872530000,-1768257800635000,-1768257800635.0
cam1_rec8.mkv,185969,3098919000,1768260899548000,-1768257800629000,-1768257800629.0
cam1_rec8.mkv,186510,3107935000,1768260908564000,-1768257800629000,-1768257800629.0
cam1_rec8.mkv,187050,3116931000,1768260917561000,-1768257800630000,-1768257800630.0
cam1_rec8.mkv,187591,3125947000,1768260926569000,-1768257800622000,-1768257800622.0
cam1_rec8.mkv,189213,3152972000,1768260953600000,-1768257800628000,-1768257800628.0
cam1_rec8.mkv,189753,3161968000,1768260962572000,-1768257800604000,-1768257800604.0
cam1_rec8.mkv,190294,3170980000,1768260971605000,-1768257800625000,-1768257800625.0
cam1_rec8.mkv,190835,3179996000,1768260980609000,-1768257800613000,-1768257800613.0
cam1_rec8.mkv,192456,3207005000,1768261007632000,-1768257800627000,-1768257800627.0
cam1_rec8.mkv,192997,3216017000,1768261016635000,-1768257800618000,-1768257800618.0
cam1_rec8.mkv,193538,3225033000,1768261025653000,-1768257800620000,-1768257800620.0
cam1_rec8.mkv,194078,3234029000,1768261034659000,-1768257800630000,-1768257800630.0
cam1_rec8.mkv,195700,3261053000,1768261061672000,-1768257800619000,-1768257800619.0
cam1_rec8.mkv,196241,3270070000,1768261070695000,-1768257800625000,-1768257800625.0
cam1_rec8.mkv,196781,3279066000,1768261079695000,-1768257800629000,-1768257800629.0
cam1_rec8.mkv,197322,3288078000,1768261088706000,-1768257800628000,-1768257800628.0
cam1_rec8.mkv,197862,3297078000,1768261097703000,-1768257800625000,-1768257800625.0
cam1_rec8.mkv,198944,3315106000,1768261115726000,-1768257800620000,-1768257800620.0
cam1_rec8.mkv,199484,3324102000,1768261124725000,-1768257800623000,-1768257800623.0
cam1_rec8.mkv,200025,3333114000,1768261133736000,-1768257800622000,-1768257800622.0
cam1_rec8.mkv,200566,3342131000,1768261142762000,-1768257800631000,-1768257800631.0
cam1_rec8.mkv,202187,3369139000,1768261169753000,-1768257800614000,-1768257800614.0
cam1_rec8.mkv,202728,3378151000,1768261178780000,-1768257800629000,-1768257800629.0
cam1_rec8.mkv,203269,3387167000,1768261187787000,-1768257800620000,-1768257800620.0
cam1_rec8.mkv,203809,3396163000,1768261196791000,-1768257800628000,-1768257800628.0
cam1_rec8.mkv,205431,3423188000,1768261223808000,-1768257800620000,-1768257800620.0
cam1_rec8.mkv,205972,3432204000,1768261232828000,-1768257800624000,-1768257800624.0
cam1_rec8.mkv,206512,3441200000,1768261241825000,-1768257800625000,-1768257800625.0
cam1_rec8.mkv,207053,3450212000,1768261250852000,-1768257800640000,-1768257800640.0
cam1_rec8.mkv,208675,3477241000,1768261277850000,-1768257800609000,-1768257800609.0
cam1_rec8.mkv,209215,3486237000,1768261286864000,-1768257800627000,-1768257800627.0
cam1_rec8.mkv,209756,3495249000,1768261295880000,-1768257800631000,-1768257800631.0
cam1_rec8.mkv,210296,3504249000,1768261304871000,-1768257800622000,-1768257800622.0
cam1_rec8.mkv,211918,3531273000,1768261331868000,-1768257800595000,-1768257800595.0
cam1_rec8.mkv,212459,3540286000,1768261340903000,-1768257800617000,-1768257800617.0
cam1_rec8.mkv,213000,3549302000,1768261349925000,-1768257800623000,-1768257800623.0
cam1_rec8.mkv,213540,3558298000,1768261358925000,-1768257800627000,-1768257800627.0
cam1_rec8.mkv,215703,3594418000,1768261395043000,-1768257800625000,-1768257800625.0
cam1_rec8.mkv,216243,3603419000,1768261404041000,-1768257800622000,-1768257800622.0
cam1_rec8.mkv,216784,3612431000,1768261413051000,-1768257800620000,-1768257800620.0
cam1_rec8.mkv,217324,3621427000,1768261422050000,-1768257800623000,-1768257800623.0
cam1_rec8.mkv,217865,3630443000,1768261431069000,-1768257800626000,-1768257800626.0
cam1_rec8.mkv,218406,3639455000,1768261440075000,-1768257800620000,-1768257800620.0
cam1_rec8.mkv,218946,3648455000,1768261449072000,-1768257800617000,-1768257800617.0
cam1_rec8.mkv,219487,3657467000,1768261458098000,-1768257800631000,-1768257800631.0
cam1_rec8.mkv,220027,3666464000,1768261467089000,-1768257800625000,-1768257800625.0
cam1_rec8.mkv,222190,3702504000,1768261503133000,-1768257800629000,-1768257800629.0
cam1_rec8.mkv,222730,3711500000,1768261512125000,-1768257800625000,-1768257800625.0
cam1_rec8.mkv,223271,3720516000,1768261521145000,-1768257800629000,-1768257800629.0
cam1_rec8.mkv,224352,3738525000,1768261539150000,-1768257800625000,-1768257800625.0
cam1_rec8.mkv,224893,3747541000,1768261548157000,-1768257800616000,-1768257800616.0
cam1_rec8.mkv,225434,3756553000,1768261557170000,-1768257800617000,-1768257800617.0
cam1_rec8.mkv,225974,3765553000,1768261566171000,-1768257800618000,-1768257800618.0
cam1_rec8.mkv,226515,3774565000,1768261575196000,-1768257800631000,-1768257800631.0
cam1_rec8.mkv,228137,3801590000,1768261602201000,-1768257800611000,-1768257800611.0
cam1_rec8.mkv,228677,3810586000,1768261611218000,-1768257800632000,-1768257800632.0
cam1_rec8.mkv,229218,3819602000,1768261620226000,-1768257800624000,-1768257800624.0
cam1_rec8.mkv,229758,3828598000,1768261629231000,-1768257800633000,-1768257800633.0
cam1_rec8.mkv,230299,3837614000,1768261638250000,-1768257800636000,-1768257800636.0
cam1_rec8.mkv,231921,3864639000,1768261665256000,-1768257800617000,-1768257800617.0
cam1_rec8.mkv,232461,3873635000,1768261674252000,-1768257800617000,-1768257800617.0
cam1_rec8.mkv,233002,3882651000,1768261683270000,-1768257800619000,-1768257800619.0
cam1_rec8.mkv,235165,3918687000,1768261719302000,-1768257800615000,-1768257800615.0
cam1_rec8.mkv,235705,3927684000,1768261728313000,-1768257800629000,-1768257800629.0
cam1_rec8.mkv,236246,3936700000,1768261737323000,-1768257800623000,-1768257800623.0
cam1_rec8.mkv,238408,3972720000,1768261773342000,-1768257800622000,-1768257800622.0
cam1_rec8.mkv,238949,3981736000,1768261782364000,-1768257800628000,-1768257800628.0
cam1_rec8.mkv,239489,3990732000,1768261791366000,-1768257800634000,-1768257800634.0
cam1_rec8.mkv,240571,4008761000,1768261809386000,-1768257800625000,-1768257800625.0
cam1_rec8.mkv,241111,4017757000,1768261818377000,-1768257800620000,-1768257800620.0
cam1_rec8.mkv,241652,4026773000,1768261827394000,-1768257800621000,-1768257800621.0
cam1_rec8.mkv,242192,4035769000,1768261836391000,-1768257800622000,-1768257800622.0
cam1_rec8.mkv,242733,4044781000,1768261845393000,-1768257800612000,-1768257800612.0
cam1_rec8.mkv,244895,4080806000,1768261881427000,-1768257800621000,-1768257800621.0
cam1_rec8.mkv,245436,4089818000,1768261890447000,-1768257800629000,-1768257800629.0
cam1_rec8.mkv,245977,4098834000,1768261899470000,-1768257800636000,-1768257800636.0
